"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,49031,10904,"BPS  Open Water",10904,"EVT  Open Water",10904
"2",31,9173,2,0,"BPS  Barren-Rock/Sand/Clay",0,"EVT  Sparsely Vegetated",0
"3",1870,7295,367,82,"BPS  Hardwood",350800,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",250
"4",1870,7296,2753,612,"BPS  Hardwood",350800,"EVT  Developed-Low Intensity",2886
"5",1870,7297,806,179,"BPS  Hardwood",350800,"EVT  Developed-Medium Intensity",1103
"6",1870,7298,182,40,"BPS  Hardwood",350800,"EVT  Developed-High Intensity",228
"7",1870,7299,23058,5128,"BPS  Hardwood",350800,"EVT  Developed-Roads",25211
"8",1870,7303,684947,152329,"BPS  Hardwood",350800,"EVT  Hardwood",417272
"9",1870,7317,11028,2453,"BPS  Hardwood",350800,"EVT  Hardwood",4522
"10",1870,7318,66956,14891,"BPS  Hardwood",350800,"EVT  Hardwood",53152
"11",1870,7320,6983,1553,"BPS  Hardwood",350800,"EVT  Hardwood",106896
"12",1870,7321,232300,51662,"BPS  Hardwood",350800,"EVT  Hardwood",245905
"13",1870,7340,3965,882,"BPS  Hardwood",350800,"EVT  Conifer-Hardwood",2193
"14",1870,7350,136,30,"BPS  Hardwood",350800,"EVT  Conifer",122629
"15",1870,7352,1302,290,"BPS  Hardwood",350800,"EVT  Conifer",571
"16",1870,7353,61,14,"BPS  Hardwood",350800,"EVT  Conifer",39
"17",1870,7369,4679,1041,"BPS  Hardwood",350800,"EVT  Conifer",2262
"18",1870,7370,3208,713,"BPS  Hardwood",350800,"EVT  Conifer",23411
"19",1870,7377,16475,3664,"BPS  Hardwood",350800,"EVT  Conifer",10911
"20",1870,7400,3920,872,"BPS  Hardwood",350800,"EVT  Conifer-Hardwood",1464
"21",1870,7463,86075,19143,"BPS  Hardwood",350800,"EVT  Hardwood",38485
"22",1870,7502,72112,16037,"BPS  Hardwood",350800,"EVT  Conifer-Hardwood",34178
"23",1870,7511,19092,4246,"BPS  Hardwood",350800,"EVT  Hardwood",217106
"24",1870,7512,13776,3064,"BPS  Hardwood",350800,"EVT  Conifer-Hardwood",92260
"25",1870,7556,33586,7469,"BPS  Hardwood",350800,"EVT  Hardwood",20535
"26",1870,7557,40254,8952,"BPS  Hardwood",350800,"EVT  Conifer-Hardwood",21193
"27",1870,7905,28467,6331,"BPS  Hardwood",350800,"EVT  Developed",33732
"28",1870,7906,806,179,"BPS  Hardwood",350800,"EVT  Developed",2133
"29",1870,7907,5012,1115,"BPS  Hardwood",350800,"EVT  Developed",8533
"30",1870,7908,2882,641,"BPS  Hardwood",350800,"EVT  Developed",2034
"31",1870,7909,1505,335,"BPS  Hardwood",350800,"EVT  Developed",1168
"32",1870,7925,616,137,"BPS  Hardwood",350800,"EVT  Developed",491
"33",1870,7926,333,74,"BPS  Hardwood",350800,"EVT  Developed",234
"34",1870,7927,804,179,"BPS  Hardwood",350800,"EVT  Developed",651
"35",1870,7928,17,4,"BPS  Hardwood",350800,"EVT  Developed",20
"36",1870,7929,413,92,"BPS  Hardwood",350800,"EVT  Developed",355
"37",1870,7970,36,8,"BPS  Hardwood",350800,"EVT  Agricultural",20
"38",1870,7971,1,0,"BPS  Hardwood",350800,"EVT  Agricultural",1
"39",1870,7972,1,0,"BPS  Hardwood",350800,"EVT  Agricultural",1
"40",1870,7973,141,31,"BPS  Hardwood",350800,"EVT  Agricultural",97
"41",1870,7974,3611,803,"BPS  Hardwood",350800,"EVT  Agricultural",2895
"42",1870,7975,853,190,"BPS  Hardwood",350800,"EVT  Agricultural",732
"43",1870,7976,161,36,"BPS  Hardwood",350800,"EVT  Agricultural",269
"44",1870,7977,123643,27498,"BPS  Hardwood",350800,"EVT  Agricultural",72727
"45",1870,7978,38,8,"BPS  Hardwood",350800,"EVT  Agricultural",28
"46",1870,9060,72,16,"BPS  Hardwood",350800,"EVT  Riparian",466
"47",1870,9106,99,22,"BPS  Hardwood",350800,"EVT  Riparian",6430
"48",1870,9176,125,28,"BPS  Hardwood",350800,"EVT  Riparian",120
"49",1870,9224,2421,538,"BPS  Hardwood",350800,"EVT  Riparian",10600
"50",1870,9288,15263,3394,"BPS  Hardwood",350800,"EVT  Hardwood",7664
"51",1870,9312,16647,3702,"BPS  Hardwood",350800,"EVT  Conifer",9221
"52",1870,9314,7,2,"BPS  Hardwood",350800,"EVT  Riparian",53
"53",1870,9315,28779,6400,"BPS  Hardwood",350800,"EVT  Conifer-Hardwood",55805
"54",1870,9317,2648,589,"BPS  Hardwood",350800,"EVT  Exotic Tree-Shrub",4162
"55",1870,9318,4,1,"BPS  Hardwood",350800,"EVT  Riparian",321
"56",1870,9562,2,0,"BPS  Hardwood",350800,"EVT  Riparian",6
"57",1870,9724,2,0,"BPS  Hardwood",350800,"EVT  Riparian",448
"58",1870,9726,44,10,"BPS  Hardwood",350800,"EVT  Riparian",560
"59",1870,9817,13901,3092,"BPS  Hardwood",350800,"EVT  Exotic Herbaceous",26708
"60",1871,7296,1,0,"BPS  Hardwood",127,"EVT  Developed-Low Intensity",2886
"61",1871,7299,3,1,"BPS  Hardwood",127,"EVT  Developed-Roads",25211
"62",1871,7303,144,32,"BPS  Hardwood",127,"EVT  Hardwood",417272
"63",1871,7318,9,2,"BPS  Hardwood",127,"EVT  Hardwood",53152
"64",1871,7321,19,4,"BPS  Hardwood",127,"EVT  Hardwood",245905
"65",1871,7340,31,7,"BPS  Hardwood",127,"EVT  Conifer-Hardwood",2193
"66",1871,7352,1,0,"BPS  Hardwood",127,"EVT  Conifer",571
"67",1871,7369,6,1,"BPS  Hardwood",127,"EVT  Conifer",2262
"68",1871,7370,1,0,"BPS  Hardwood",127,"EVT  Conifer",23411
"69",1871,7377,23,5,"BPS  Hardwood",127,"EVT  Conifer",10911
"70",1871,7463,93,21,"BPS  Hardwood",127,"EVT  Hardwood",38485
"71",1871,7502,167,37,"BPS  Hardwood",127,"EVT  Conifer-Hardwood",34178
"72",1871,7512,1,0,"BPS  Hardwood",127,"EVT  Conifer-Hardwood",92260
"73",1871,7556,8,2,"BPS  Hardwood",127,"EVT  Hardwood",20535
"74",1871,7557,46,10,"BPS  Hardwood",127,"EVT  Conifer-Hardwood",21193
"75",1871,7907,1,0,"BPS  Hardwood",127,"EVT  Developed",8533
"76",1871,9288,1,0,"BPS  Hardwood",127,"EVT  Hardwood",7664
