Past,EVT,ACRES
Past  Conifer,Agricultural,3050
Past  Conifer,Conifer,122600
Past  Conifer,Conifer-Hardwood,79502
Past  Conifer,Developed,16888
Past  Conifer,Exotics,12751
Past  Conifer,Hardwood,216326
Past  Conifer,Riparian,1369
Past  Hardwood,Agricultural,53984
Past  Hardwood,Conifer,32223
Past  Hardwood,Conifer-Hardwood,90800
Past  Hardwood,Developed,46816
Past  Hardwood,Exotics,16249
Past  Hardwood,Hardwood,748966
Past  Hardwood,Riparian,3170
Past  Hardwood-Conifer,Agricultural,2676
Past  Hardwood-Conifer,Conifer,3993
Past  Hardwood-Conifer,Conifer-Hardwood,24743
Past  Hardwood-Conifer,Developed,2568
Past  Hardwood-Conifer,Exotics,810
Past  Hardwood-Conifer,Hardwood,83987
Past  Hardwood-Conifer,Riparian,77
Past  Riparian,Agricultural,16802
Past  Riparian,Conifer,10176
Past  Riparian,Conifer-Hardwood,11777
Past  Riparian,Developed,12726
Past  Riparian,Exotics,1054
Past  Riparian,Hardwood,61756
Past  Riparian,Riparian,14382
