"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,49031,"Open Water",0,0,255,0,0,1,10904,0.6
"2",13,151675,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,33732,2
"3",14,9591,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,2133,0.1
"4",15,38368,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,8533,0.5
"5",16,9145,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,2034,0.1
"6",17,5253,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,1168,0.1
"7",22,12979,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,2886,0.2
"8",23,4961,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,1103,0.1
"9",24,1023,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,228,0
"10",25,113362,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,25211,1.5
"11",31,2,"Barren",191,191,191,0.74902,0.74902,0.74902,0,0
"12",32,1126,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,250,0
"13",61,6,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,1,0
"14",63,438,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,97,0
"15",64,13017,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,2895,0.2
"16",65,3290,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,732,0
"17",68,127,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,28,0
"18",101,15,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,3,0
"19",102,103,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,23,0
"20",103,464,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,103,0
"21",104,701,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,156,0
"22",105,1284,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,286,0
"23",106,2286,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,508,0
"24",107,3497,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,778,0
"25",108,38346,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,8528,0.5
"26",109,7698,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,1712,0.1
"27",110,11606,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,2581,0.2
"28",111,16533,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,3677,0.2
"29",112,23837,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,5301,0.3
"30",113,35798,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,7961,0.5
"31",114,54491,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,12119,0.7
"32",115,86411,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,19217,1.1
"33",116,135451,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,30124,1.8
"34",117,206082,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,45832,2.7
"35",118,463590,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,103100,6
"36",119,446023,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,99193,5.8
"37",120,618874,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,137634,8.1
"38",121,785898,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,174780,10.2
"39",122,905717,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,201427,11.8
"40",123,949867,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,211245,12.4
"41",124,849379,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,188897,11.1
"42",125,614003,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,136551,8
"43",126,365150,"Tree Height = 26 meters",79,158,51,0.309804,0.619608,0.2,81207,4.8
"44",127,142326,"Tree Height = 27 meters",76,153,47,0.298039,0.6,0.184314,31653,1.9
"45",138,6488,"Tree Height = 38 meters",36,112,21,0.141176,0.439216,0.082353,1443,0.1
"46",203,36,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,8,0
"47",205,3,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,1,0
"48",208,163,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,36,0
"49",209,2,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,0,0
"50",210,22,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,5,0
"51",211,60,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,13,0
"52",212,382,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,85,0
"53",213,201,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,45,0
"54",214,819,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,182,0
"55",215,8236,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,1832,0.1
"56",217,1,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,0,0
"57",218,1,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,0,0
"58",219,3,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,1,0
"59",220,22,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,5,0
"60",221,12,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,3,0
